api-1  | INFO:     192.168.188.30:56207 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56208 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56209 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56210 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:60885 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:52091 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:55831 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:61461 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:60885 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:51327 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:61461 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:54915 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33364 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54476 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54480 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:39166 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53762 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53766 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:57800 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:57814 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37852 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37862 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37862 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37874 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52340 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52348 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37308 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56212 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56213 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56214 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56215 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:52388 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:52388 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:49232 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:53356 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:63050 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:52388 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:50284 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:65388 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37310 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35176 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35190 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40856 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40872 - "GET /health HTTP/1.1" 200 OK
